motif_id,n_biomes_assigned,z_true,z_threshold_95,keep_in_filtered
i35a1,3,-0.03126385631767014,2.828476905822754,True
i47a,3,-0.2200619281514959,2.828476905822754,True
i74a,3,1.7755154281055276,2.828476905822754,True
i41b1,2,-0.8820030106668016,2.828476905822754,True
h8,3,1.4412241481387862,2.828476905822754,True
h55a,3,1.6020499313952703,2.828476905822754,True
i29,3,1.331770655050525,2.828476905822754,True
i82e,3,0.610564204577274,2.828476905822754,True
i82f,1,0.10256870863846679,2.828476905822754,True
i61a,2,0.5180342257002559,2.828476905822754,True
i81a1,3,0.9883223917536267,2.828476905822754,True
i55b,2,-1.126997236649979,2.828476905822754,True
i5a,2,0.5337955630151938,2.828476905822754,True
i8h,3,1.4228035352822272,2.828476905822754,True
i82g,3,2.278023723712081,2.828476905822754,True
j12c,2,1.4289693875307043,2.828476905822754,True
i67,3,1.356762801590944,2.828476905822754,True
i46b,3,0.7560362687402383,2.828476905822754,True
i71,3,0.8943061193648006,2.828476905822754,True
j12a,1,0.05054449918227403,2.828476905822754,True
j22c,3,1.4256506799866444,2.828476905822754,True
j12k,2,1.1514462751531696,2.828476905822754,True
j12l,3,0.03350373000687136,2.828476905822754,True
j25b,2,0.15186676502072194,2.828476905822754,True
i4c,3,-0.38808271804111827,2.828476905822754,True
i81a,3,0.40164364216195825,2.828476905822754,True
h50,3,0.644190051142139,2.828476905822754,True
i86a,2,1.3632604917857756,2.828476905822754,True
j36,2,0.7719148968731411,2.828476905822754,True
i86,3,1.4428455779999445,2.828476905822754,True
i114,3,0.5744963401762004,2.828476905822754,True
j35,2,1.2047580863542444,2.828476905822754,True
j12m,3,-1.1172645129425225,2.828476905822754,True
j15b,2,1.7061153439535057,2.828476905822754,True
j10,3,0.5016303092481839,2.828476905822754,True
j33a,3,1.2262650994413717,2.828476905822754,True
j22d,1,-1.6091165456191894,2.828476905822754,True
j3,3,1.446990843950622,2.828476905822754,True
j18a,3,0.8637992887047002,2.828476905822754,True
j56a,2,1.4535140653614578,2.828476905822754,True
j19b,2,1.3181659421601342,2.828476905822754,True
j50a,3,1.3914629588512835,2.828476905822754,True
j51b,2,0.7780726981232108,2.828476905822754,True
j23a,2,-1.33768812915511,2.828476905822754,True
j19a,2,0.37488549296334234,2.828476905822754,True
j41a,3,-0.9186753864869384,2.828476905822754,True
j6a,2,1.1722669532912349,2.828476905822754,True
j32b,3,1.8272547556718148,2.828476905822754,True
j49,2,0.41945425537720993,2.828476905822754,True
k108a,2,-0.593571051314163,2.828476905822754,True
j68,1,0.2978088533944625,2.828476905822754,True
k10h,3,0.4100146851895671,2.828476905822754,True
j47a,3,1.6572240981059216,2.828476905822754,True
k13d,2,1.037125803612006,2.828476905822754,True
j8,3,0.574421267634347,2.828476905822754,True
k10d,3,0.40760341850493714,2.828476905822754,True
j62b,3,-1.222460134973843,2.828476905822754,True
j59b,3,0.8198960297458745,2.828476905822754,True
k105,1,0.8599996984857357,2.828476905822754,True
k149,3,1.1707250170891892,2.828476905822754,True
k11b,1,-1.0934169047458326,2.828476905822754,True
k10i,1,1.3269497636781997,2.828476905822754,True
k111,3,-2.242465218220964,2.828476905822754,True
k132a,2,-0.44705345409852526,2.828476905822754,True
k16a,3,0.6351204939181117,2.828476905822754,True
j67,3,0.44141268278100587,2.828476905822754,True
k123b,3,0.9447181491611271,2.828476905822754,True
k19f,2,1.6569193786426826,2.828476905822754,True
k27ll,1,-1.111288183295218,2.828476905822754,True
k1g,3,1.7297617280799447,2.828476905822754,True
k13b,2,1.5730122995892604,2.828476905822754,True
